title,company,experience,salary,location,skills,posted
Data Analyst,Ample Softech System,0-3 Yrs,Not mentioned,"Nagpur, Pune","Power Bi, Data Visualization, Data Analytics, Data Management, Tableau, SQL, Management, Bi",Few hours ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 day ago
Data Analyst (English Required),Peroptyx,0-5 Yrs,Not mentioned,Remote,"English, Data Analysis, Data Analytics, Data Mapping, Analysis, Analytics, Mapping, Data",2 days ago
Online Data Analyst Odia (IN),TELUS Digital,0-5 Yrs,Not mentioned,Remote,"Oriya, oriya speaker, odiya, Language Editing, Power Bi, Artificial Intelligence, Content Writing, content",4 days ago
Data Analyst,Bajaj Housing Finance,0-5 Yrs,Not mentioned,Pune,"Stakeholder Management, SQL, Power Bi, Query Management, Data Extraction, Funnel Analysis, Lead Management, Dashboards",4 days ago
Data Analyst,E4 Softwares,0-3 Yrs,Not mentioned,Mumbai,"python, data analysis, data analytics, sas, natural language processing, data mining, predictive analytics, process improvement",1 week ago
"Data Steward, Analyst/Associate",Goldman Sachs,0-3 Yrs,Not mentioned,Bengaluru,"Automation, Data management, Wealth management, Analytical, Mutual funds, Reconciliation, Asset management, Macros",6 days ago
Data Analyst,Infinite,0 Yrs,Not mentioned,Noida,"Excel, Power Bi, VBA, Data Analysis, Macros, R, SAS, SPSS",5 days ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",4 days ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Online Data Analyst - Kannada,TELUS Digital,0-2 Yrs,Not mentioned,Remote,"Data Analysis, Mapping, Online Data Analysis, quality assurance, AI models, machine learning, Artificial Intelligence, Analysis",6 days ago
